catalognumber,eventdate,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,decimallatitude,decimallongitude,scientificname,order,family,genus,specificepithet,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
109661,4/11/85,101,101,1985,4,11,11-Apr-85,-7.771,140.27,Pachycephalopsis poliosoma,Passeriformes,Petroicidae,Pachycephalopsis,poliosoma,0,0,0,1,specimen,0
49394,1875-07-17,198,198,1875,7,17,18750717,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
50035,12/7/02,341,341,1902,12,7,19021207,-5.350129,140.914065,Parotia carolae carolae?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,carolae,0,0,0,0,specimen,0
55176,1875-03-26,85,85,1875,3,26,18750326,-5.350129,140.914065,Myiagra alecto ssp?,Passeriformes,Muscicapidae Monarchinae,Myiagra,alecto,0,0,0,0,specimen,0
56733,1875-02-27,58,58,1875,2,27,18750227,-5.350129,140.914065,Toxorhamphus novaeguineae noveguineae,Passeriformes,Meliphagidae,Toxorhamphus,novaeguineae,0,0,0,0,specimen,0
49399,1875-05-07,127,127,1875,5,7,18750507,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
49914,10/1/05,274,274,1905,10,1,19051001,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
500004,4/3/03,93,93,1903,4,3,19030403,-5.350129,140.914065,Casuarius sp?,Struthioniformes,Casuariidae,Casuarius,sp?,0,0,0,0,specimen,0
53627,10/6/10,279,279,1910,10,6,19101006,-5.350129,140.914065,Ptilorrhoa castanonota uropygialis?,Passeriformes,Muscicapidae Orthonychinae,Ptilorrhoa,castanonota,0,0,0,0,specimen,0
54851,1875-05-20,140,140,1875,5,20,18750520,-5.350129,140.914065,Peneoenanthe pulverulenta pulverulenta,Passeriformes,Muscicapidae Eopsaltriinae,Peneoenanthe,pulverulenta,0,0,0,0,specimen,0
33.9.1.756,1910-01,,,1910,1,,19100100,-5.350129,140.914065,Parotia lawesii lawesii,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
40079,1888-06,,,1888,6,,18880600,-5.350129,140.914065,Ptilinopus pulchellus,Columbiformes,Columbidae,Ptilinopus,pulchellus,0,0,0,0,specimen,0
49913,1908-06,,,1908,6,,19080600,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
50072,1916-05,,,1916,5,,19160500,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
44661,1872-08,,,1872,8,,18720800,-5.350129,140.914065,Aceros plicatus ruficollis,Coraciiformes,Bucerotidae,Aceros,plicatus,0,0,0,0,specimen,0
49984,1902-01,,,1902,1,,19020100,-5.350129,140.914065,Epimachus meyeri meyeri,Passeriformes,Paradisaeidae Paradisaeinae,Epimachus,meyeri,0,0,0,0,specimen,0
49986,1903-08,,,1903,8,,19030800,-5.350129,140.914065,Epimachus meyeri meyeri,Passeriformes,Paradisaeidae Paradisaeinae,Epimachus,meyeri,0,0,0,0,specimen,0
50023,1895-10,,,1895,10,,18951000,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
50042,1908-06,,,1908,6,,19080600,-5.350129,140.914065,Parotia lawesii ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Parotia,lawesii,0,0,0,0,specimen,0
50071,1916-05,,,1916,5,,19160500,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
50103,1908-06,,,1908,6,,19080600,-5.350129,140.914065,Diphyllodes magnificus hunsteini,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
156592,1920,,,1920,,,19200000,-5.350129,140.914065,Paradisaea raggiana salvadorii,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
44296,1920,,,1920,,,19200000,-5.350129,140.914065,Paradisaea apoda novaeguineae,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,apoda,0,0,0,0,specimen,0
49396,1879,,,1879,,,18790000,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
49397,1879,,,1879,,,18790000,-5.350129,140.914065,Mino dumontii dumontii,Passeriformes,Sturnidae Sturninae,Mino,dumontii,0,0,0,0,specimen,0
49865,1861,,,1861,,,18610000,-5.350129,140.914065,Manucodia ater ater?,Passeriformes,Paradisaeidae Paradisaeinae,Manucodia,ater,0,0,0,0,specimen,0
50024,1897,,,1897,,,18970000,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
50070,1916,,,1916,,,19160000,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
55582,1882,,,1882,,,18820000,-5.350129,140.914065,Pitohui kirhocephalus ssp?,Passeriformes,Muscicapidae Pachycephalinae,Pitohui,kirhocephalus,0,0,0,0,specimen,0
156593,1920,,,1920,,,19200000,-5.350129,140.914065,Paradisaea apoda novaeguineae,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,apoda,0,0,0,0,specimen,0
33.9.1.1083,1898,,,1898,,,18980000,-5.350129,140.914065,Mino anais orientalis,Passeriformes,Sturnidae Sturninae,Mino,anais,0,0,0,0,specimen,0
44097,1879,,,1879,,,18790000,-5.350129,140.914065,Dacelo gaudichaud,Coraciiformes,Alcedinidae Daceloninae,Dacelo,gaudichaud,0,0,0,0,specimen,0
48063,1879,,,1879,,,18790000,-5.350129,140.914065,Pitta novaeguineae,Passeriformes,Pittidae,Pitta,novaeguineae,0,0,0,0,specimen,0
49909,1899,,,1899,,,18990000,-5.350129,140.914065,Ptiloris magnificus intercedens,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,magnificus,0,0,0,0,specimen,0
50188,1895,,,1895,,,18950000,-5.350129,140.914065,Paradisaea rubra,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,rubra,0,0,0,0,specimen,0
01.10.4.220,,,,,,,,-5.350129,140.914065,Paradisaea raggiana raggiana,Passeriformes,Paradisaeidae Paradisaeinae,Paradisaea,raggiana,0,0,0,0,specimen,0
01.10.4.222,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
14.9.19.4,,,,,,,,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
20.11.3.53,,,,,,,,-5.350129,140.914065,Cicinnurus regius ssp?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
26.11.1.242,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
27133,,,,,,,,-5.350129,140.914065,Cicinnurus regius rex?,Passeriformes,Paradisaeidae Paradisaeinae,Cicinnurus,regius,0,0,0,0,specimen,0
27134,,,,,,,,-5.350129,140.914065,Diphyllodes magnificus hunsteini,Passeriformes,Paradisaeidae Paradisaeinae,Diphyllodes,magnificus,0,0,0,0,specimen,0
27138,,,,,,,,-5.350129,140.914065,Lophorina superba minor,Passeriformes,Paradisaeidae Paradisaeinae,Lophorina,superba,0,0,0,0,specimen,0
32.8.29.238,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
32.8.29.239,,,,,,,,-5.350129,140.914065,Ptiloris paradiseus,Passeriformes,Paradisaeidae Paradisaeinae,Ptiloris,paradiseus,0,0,0,0,specimen,0
32.8.29.93,,,,,,,,-5.350129,140.914065,Trichoglossus haematodus massena,Psittaciformes,Loriidae,Trichoglossus,haematodus,0,0,0,0,specimen,0
